上海频道,#genre#
客家频道,rtmp://45.92.126.226/channel/61003b23f0618408855f3748
美食星球,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d4a
靖洋卡通台,rtmp://45.88.148.178/channel/60c344bf961593122ebaf9a0
靖天综合台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d50
靖天映画,rtmp://45.92.126.226/channel/60c34395961593122ebaf994
靖天日本台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d54
靖天欢乐台,rtmp://45.88.148.178/channel/60c343c5961593122ebaf996
靖天电影台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d58
寰宇财经台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d4e
好消息,rtmp://45.88.148.178/channel/60c31888961593122ebaf912
好消息2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d82
海豚综合台,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d76
国家地理,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910ca6
冠军电视台,rtmp://45.92.126.226/channel/611a83133e4da143c015987c
公视3,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c3e
动物星球,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d6c
东森戏剧,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d88
博斯高球2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cd0
爱尔达体育1,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cb4
Z频道,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910d64
TVB星河(粤语),rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d7a
TVBS精采台,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910cd8
探索科学,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d72
TV5MONDE ASIE,rtmp://45.88.148.178/channel/60c2f5bb961593122ebaf8d4
NHK,rtmp://45.88.148.178/channel/60c2f4fb961593122ebaf8d0
JET综合,rtmp://45.88.148.178/channel/60b4e50239e1b02e8b910c74
HBO原创,rtmp://45.92.126.226/channel/60c2f6ca961593122ebaf8dc
HBO强档,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910cce
FOX MOVIES,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910ca8
euro news,rtmp://45.92.126.226/channel/61002dbef0618408855f370f
ELEVEN2,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d62
DW,rtmp://45.88.148.178/channel/60c2f625961593122ebaf8d6
CNBC亚洲财经,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d44
BBC WORLD NEWS,rtmp://45.92.126.226/channel/60b4e50239e1b02e8b910d42
CNC中文台,http://39.135.138.57:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC中文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225694/index.m3u8
CNC中文台,http://source07.v.news.cn/live/CNC_CN/playlist.m3u8
CNC英文台,http://39.135.138.57:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC英文台,http://39.135.138.59:18890/PLTV/88888910/224/3221225693/index.m3u8
CNC英文台,http://source07.v.news.cn/live/CNC_EN/playlist.m3u8
